127.0.0.1 - - [18/Oct/2021:10:20:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Oct/2021:10:20:48 +0900] "GET /HelloWeb/jsp/index.html HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [18/Oct/2021:10:20:48 +0900] "GET /HelloWeb/img/kgu.ico HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [18/Oct/2021:11:32:00 +0900] "GET /HelloWeb/jsp/ex07_fileupload.html HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [18/Oct/2021:11:32:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Oct/2021:11:32:11 +0900] "POST /HelloWeb/jsp/uploadtoserver.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [18/Oct/2021:11:42:29 +0900] "GET /HelloWeb/jsp/ex07_fileupload.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:11:42:35 +0900] "POST /HelloWeb/jsp/uploadtoserver.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2021:11:43:00 +0900] "POST /HelloWeb/jsp/uploadtoserver.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2021:11:43:33 +0900] "POST /HelloWeb/jsp/uploadtoserver.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2021:11:44:08 +0900] "POST /HelloWeb/jsp/uploadtoserver.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [18/Oct/2021:11:46:00 +0900] "POST /HelloWeb/jsp/uploadtoserver.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [18/Oct/2021:12:52:09 +0900] "GET /HelloWeb/jsp/ex08_multiFileUpload.html HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [18/Oct/2021:12:52:26 +0900] "POST /HelloWeb/jsp/multiupload.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [18/Oct/2021:12:54:08 +0900] "POST /HelloWeb/jsp/multiupload.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [18/Oct/2021:12:55:05 +0900] "POST /HelloWeb/jsp/multiupload.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [18/Oct/2021:12:57:20 +0900] "POST /HelloWeb/jsp/multiupload.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [18/Oct/2021:12:57:48 +0900] "GET /HelloWeb/jsp/ex08_multiFileUpload.html HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [18/Oct/2021:13:26:39 +0900] "GET /HelloWeb/jsp/ex09_el.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [18/Oct/2021:13:29:06 +0900] "GET /HelloWeb/jsp/ex09_el.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [18/Oct/2021:13:38:52 +0900] "GET /HelloWeb/jsp/ex09_el.jsp HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [18/Oct/2021:14:08:57 +0900] "GET /HelloWeb/jsp/ex09_el.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [18/Oct/2021:14:09:22 +0900] "GET /HelloWeb/jsp/ex08_multiFileUpload.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:14:10:58 +0900] "POST /HelloWeb/jsp/multiupload.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [18/Oct/2021:14:12:05 +0900] "GET /HelloWeb/ex03_requestScope/memberForm.jsp HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [18/Oct/2021:14:12:20 +0900] "POST /HelloWeb/ex03_requestScope/forward.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [18/Oct/2021:15:06:14 +0900] "GET /HelloWeb/jsp/index.html HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [18/Oct/2021:15:13:07 +0900] "GET /HelloWeb/jsp/ex10_jstl.jsp HTTP/1.1" 200 185
