127.0.0.1 - - [12/Nov/2021:13:16:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:16:12 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:16:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:20:20 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:20:25 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:20:26 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:21:55 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:22:24 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:22:25 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:22:25 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:22:26 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:22:26 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:22:26 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:22:26 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:23:06 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:23:17 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:23:40 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:23:48 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:23:59 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:25:20 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:27:39 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:29:08 +0900] "GET /HelloWeb/test_UI/1.html HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:29:17 +0900] "GET /HelloWeb/test_UI/1.html?name=as&food=on&hobby=on HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:29:40 +0900] "GET /HelloWeb/test_UI/1.html?name=as&food=on&hobby=on HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:29:45 +0900] "GET /HelloWeb/test_UI/1.html?name=a&sns=on&food=%ED%95%9C%EC%8B%9D&hobby=on HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:30:29 +0900] "GET /HelloWeb/test_UI/1.html?name=a&sns=on&food=%ED%95%9C%EC%8B%9D&hobby=on HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:30:42 +0900] "GET /HelloWeb/test_UI/1.html?name=%EA%B3%A0%EA%B1%B4%EC%9A%B0&sns=sns&food=%ED%95%9C%EC%8B%9D&food=%EC%A4%91%EC%8B%9D&hobby=%EB%8F%85%EC%84%9C HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:35:31 +0900] "GET /HelloWeb/test_UI/2.html HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [12/Nov/2021:13:36:27 +0900] "GET /HelloWeb/test_UI/2.html HTTP/1.1" 200 397
