127.0.0.1 - - [11/Oct/2021:11:13:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Oct/2021:11:13:35 +0900] "GET /HelloWeb/ex/ex07.html HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [11/Oct/2021:11:13:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Oct/2021:11:28:08 +0900] "GET /HelloWeb/ex/ex07.html HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [11/Oct/2021:11:29:40 +0900] "GET /HelloWeb/ex/ex07.html HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [11/Oct/2021:11:29:56 +0900] "GET /HelloWeb/ex/ex07.html HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [11/Oct/2021:11:30:19 +0900] "GET /HelloWeb/ex/ex07.html HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [11/Oct/2021:11:31:01 +0900] "GET /HelloWeb/ex/ex07.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [11/Oct/2021:11:31:08 +0900] "GET /HelloWeb/ex/ex07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:11:31:08 +0900] "GET /HelloWeb/ex/popupWin.html HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [11/Oct/2021:11:36:51 +0900] "GET /HelloWeb/ex/ex07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:11:36:51 +0900] "GET /HelloWeb/ex/popupWin.html HTTP/1.1" 200 257
