127.0.0.1 - - [06/Oct/2021:09:43:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:43:26 +0900] "GET /HelloWeb/ex/ex01.html HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:43:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:48:45 +0900] "GET /HelloWeb/ex/ex01.html HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:51:05 +0900] "GET /HelloWeb/ex/ex01.html HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:11:00 +0900] "GET /HelloWeb/ex/ex01.html HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:20:35 +0900] "GET /HelloWeb/ex/ex02.html HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:27:08 +0900] "GET /HelloWeb/ex/hello1.jsp?name=spring&tel=010 HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:48:27 +0900] "GET /HelloWeb/ex/headerTest.html HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:52:19 +0900] "GET /HelloWeb/ex/headerTest.html HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:52:28 +0900] "GET /HelloWeb/ex/headerTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:52:29 +0900] "GET /HelloWeb/ex/headerTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:52:48 +0900] "GET /HelloWeb/ex/ex03.html HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [06/Oct/2021:11:07:01 +0900] "GET /HelloWeb/ex/headerTest.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [06/Oct/2021:11:07:03 +0900] "GET /HelloWeb/ex/headerTest.html HTTP/1.1" 304 -
