127.0.0.1 - - [26/Nov/2021:14:00:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:00:50 +0900] "GET /test/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:02:08 +0900] "GET /test/ HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:02:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:02:18 +0900] "GET /test/ HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:19:22 +0900] "GET /test/ HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:19:32 +0900] "GET /test/ HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:19:37 +0900] "GET /test/getScore.do?name=aa&score=93 HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:19:46 +0900] "GET /test/getScore.do?name=%EA%B3%A0%EA%B1%B4%EC%9A%B0&score=93 HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:19:52 +0900] "GET /test/getScore.do?name=%EA%B3%A0%EA%B1%B4%EC%9A%B0&score= HTTP/1.1" 500 3411
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:20:30 +0900] "GET /test/ HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:20:52 +0900] "GET /test/ HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:20:54 +0900] "GET /test/getScore.do?name=%EA%B3%A0%EA%B1%B4%EC%9A%B0&score= HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [26/Nov/2021:14:20:59 +0900] "GET /test/getScore.do?name=%EA%B3%A0%EA%B1%B4%EC%9A%B0&score=10 HTTP/1.1" 200 201
